name,citizenship,position,organization
 Adewale Adeyemo,USA,Deputy Secretary, Department of  The Treasury
 Afsin Yurdakul,TUR,Journalist, Habertürk News Network
 Albert Bourla,USA,Chairman and CEO, Pfizer Inc.
 Alex Karp,USA,CEO, Palantir Technologies Inc.
 Ana Pinho,PRT,President and CEO, Serralves Foundation
 André Kudelski,CHE,Chairman and CEO, Kudelski Group SA
 Andreas Treichl,AUT,President, Chairman ERSTE Foundation
 Anne Applebaum,USA,Staff Writer, The Atlantic
 Ashley J. Tellis,USA,Tata Chair for Strategic Affairs, Carnegie Endowment
 Audrey Azoulay,INT,Director-General, UNESCO
 Beate Meinl-Reisinger,AUT,Party Leader, NEOS
 Ben Hodges,USA,Pershing Chair in Strategic Studies, Center for European Policy Analysis
 Ben van Beurden,NLD,CEO, Shell plc
 Bernard Émié,FRA,Director General, Ministry of the Armed Forces
 Bernard Looney,GBR,CEO, BP plc
 Carlos Núñez,ESP,Executive Chairman, PRISA Media
 Celeste Wallander,USA,Assistant Secretary of Defense for International Security Affairs,
 Charles Emond,CAN,CEO, CDPQ
 Charles Michel,INT,President, European Council
 Chrystia Freeland,CAN,Deputy Prime Minister,
 Connie Hedegaard,DNK,Chair, KR Foundation
 Constanze Stelzenmüller,DEU,Fritz Stern Chair, The Brookings Institution
 Craig J. Mundie,USA,President, Mundie & Associates LLC
 David H. Petraeus,USA,Chairman, KKR Global Institute
 David Lammy,GBR,Shadow Secretary of State for Foreign, Commonwealth and Development Affairs
 Demis Hassabis,GBR,CEO and Founder, DeepMind
 Didier Reynders,INT,European Commissioner for Justice,
 Dimitri Papalexopoulos,GRC,Chairman, TITAN Cement Group
 Diogo Salvi,PRT,Co-Founder and CEO, TIMWE
 Elizabeth Economy,USA,Senior Advisor for China, Department of Commerce
 Emma Walmsley,GBR,CEO, GlaxoSmithKline plc
 Emre Erdogan,TUR,Professor Political Science, Istanbul Bilgi University
 Eric E. Schmidt,USA,Former CEO and Chairman, Google LLC
 Erkki Liikanen,FIN,Chairman, IFRS  Foundation Trustees
 Francesco Starace,ITA,CEO, Enel S.p.A.
 Gideon Rachman,GBR,Chief Foreign Affairs Commentator, The Financial Times
 Gina M. Raimondo,USA,Secretary of Commerce,
 Grace Reksten Skaugen,NOR,Board Member, Investor AB
 Henry A. Kissinger,USA,Chairman, Kissinger Associates Inc.
 Henry R. Kravis,USA,Co-Chairman, KKR & Co. Inc.  
 Ida Auken,DNK,Member of Parliament, The Social Democrat Party
 Isabel Furtado,PRT,CEO, TMG Automotive
 Jake Sullivan,USA,Director, National Security Council
 James H. Baker,USA,Director, Office of Net Assessment
 Jean Marc Huët,NLD,Chairman, Heineken NV
 Jen Easterly,USA,Director, Cybersecurity and Infrastructure Security Agency
 Jens Stoltenberg,INT,Secretary General, NATO
 Jeremy Fleming,GBR,Director, British Government Communications Headquarters
 John Sawers,GBR,Executive Chairman, Newbridge Advisory Ltd.
 Jörg Kukies,DEU,State Secretary, Chancellery
 José Luís Arnaut,PRT,Managing Partner, CMS Rui Pena & Arnaut
 José Manuel Albares,ESP,Minister of Foreign Affairs, European Union and Cooperation
 José Manuel Barroso,PRT,Chairman, Goldman Sachs International LLC
 Kaius Niemi,FIN,Senior Editor-in-Chief, Helsingin Sanomat Newspaper
 Kevin Scott,USA,CTO, Microsoft Corporation
 Kurt Campbell,USA,White House Coordinator for Indo-Pacific, NSC
 Kyriakos Pierrakakis,GRC,Minister of Digital Governance,
 Kyrsten Sinema,USA,Senator,
 Lena Hallengren,SWE,Minister for Health and Social Affairs,
 Livia Leu,CHE,State Secretary, Federal Department of Foreign Affairs
 Marcus Wallenberg,SWE,Chair, Skandinaviska Enskilda Banken AB
 Margaritis Schinas,INT,Vice President, European Commission
 Marie-Josée Kravis,USA,Co-Chair Bilderberg Meetings; Chair, The Museum of Modern Art
 Mark J. Carney,CAN,Vice Chair, Brookfield Asset Management
 Mark Little,CAN,President and CEO, Suncor Energy Inc.
 Mark Rutte,NLD,Prime Minister,
 Mark Sedwill,GBR,Chairman, Atlantic Futures Forum
 Markos Veremis,GRC,Co-Founder and Chairman, Upstream
 Martin Krasnik,DNK,Editor-in-Chief, Weekendavisen
 Martin Lundstedt,SWE,CEO and President, Volvo Group
 Mary Kay Henry,USA,International President, Service Employees International Union
 Mathias Döpfner,DEU,Chairman and CEO, Axel Springer SE
 Mellody Hobson,USA,Co-CEO and President, Ariel Investments LLC
 Michael Gove,GBR,Secretary of State for Levelling Up, Cabinet Office
 Michael Kofman,USA,Director, Russia Studies Program
 Michael Mullen,USA,Former Chairman of the Joint Chiefs of Staff,
 Michael O'Leary,IRL,Group CEO, Ryanair Group
 Mithat Rende,TUR,Member of the Board, TSKB
 Murat Yetkin,TUR,Journalist/Writer, YetkinReport
 Mustafa Suleyman,GBR,CEO, Inflection AI
 Nadia Schadlow,USA,Senior Fellow, Hudson Institute
 Nuno Sebastião,PRT,CEO, Feedzai
 Oksana Markarowa,UKR,Ambassador of Ukraine to the US,
 Ömer Koç,TUR,Chairman, Koç Holding AS
 Øyvind Eriksen,NOR,President and CEO, Aker ASA
 Pablo Casado,ESP,Former President, Partido Popular
 Paschal Donohoe,IRL,Minister for Finance; President, Eurogroup
 Patricia Barbizet,FRA,Chairwoman and CEO, Temaris & Associés SAS
 Patrick Pouyanné,FRA,Chairman and CEO, TotalEnergies SE
 Paul M. Achleitner,DEU,Former Chairman Supervisory Board, Deutsche Bank AG; Treasurer Bilderberg Meetings
 Peter Thiel,USA,President, Thiel Capital LLC
 Peter Wennink,NLD,President and CEO, ASML Holding NV
 Radoslaw Sikorski,POL,MEP, European Parliament
 Ralph Hamers,NLD,CEO, UBS Group AG
 Reid Hoffman,USA,Co-Founder, Inflection AI; Partner
 Roger C. Altman,USA,Founder and Senior Chairman, Evercore Inc.
 Sam Altman,USA,CEO, OpenAI
 Sanna Marin,FIN,Prime Minister,
 Sergio Ermotti,CHE,Chairman, Swiss Re
 Shashank Joshi,GBR,Defence Editor, The Economist
 Stefano Feltri,ITA,Editor-in-Chief, Domani
 Tarun Chhabra,USA,Senior Director for Technology and National Security, National Security Council
 Thomas Buberl,FRA,CEO, AXA SA
 Thomas Byrne,IRL,Minister of State for European Affairs,
 Thomas Leysen,BEL,Chairman, Umicore and Mediahuis; Chairman DSM N.V.
 Tinne Van der Straeten,BEL,Minister for Energy,
 Tobias Lütke,CAN,CEO, Shopify
 Tom Tugendhat,GBR,MP; Chair Foreign Affairs Committee, House of Commons
 Valérie Baudson,FRA,CEO, Amundi
 Victor Halberstadt,NLD,Co-Chair Bilderberg Meetings; Professor of Economics, Leiden University
 William C. Dudley,USA,Senior Research Scholar, Princeton University
 William J. Burns,USA,Director, CIA
 Wojciech Kostrzewa,POL,President, Polish Business Roundtable
 Wopke Hoekstra,NLD,Minister of Foreign Affairs,
 Yann LeCun,USA,Vice-President and Chief AI Scientist, Facebook
 Yaya Fanusie,USA,Adjunct Senior Fellow, Center for a New American Security
 Yuriy Vitrenko,UKR,CEO, Naftogaz
 Zanny Minton Beddoes,GBR,Editor-in-Chief, The Economist
