name,citizenship,position,organization
 Paul M. Achleitner,DEU,Chairman Supervisory Board, Deutsche Bank AG; Treasurer
 Marcus Agius,GBR,Chairman, PA Consulting Group
 Alberto Alesina,ITA,Nathaniel Ropes Professor of Economics, Harvard University
 Roger C. Altman,USA,Founder and Senior Chairman, Evercore
 Paula Amorim,PRT,Chairman, Américo Amorim Group
 Dominique Anglade,CAN,Deputy Premier of Quebec; Minister of Economy, Science and Innovation
 Anne Applebaum,POL,Columnist, Washington Post; Professor of Practice
 Audrey Azoulay,INT,Director-General, UNESCO
 James H. Baker,USA,Director, Office of Net Assessment
 Patricia Barbizet,FRA,President, Temaris & Associés
 José M. Durão Barroso,PRT,Chairman, Goldman Sachs International; Former President
 Christine Beerli,CHE,Former Vice-President, International Committee of the Red Cross
 Cathy Berx,BEL,Governor, Province of Antwerp
 Ben van Beurden,NLD,CEO, Royal Dutch Shell plc
 Jean-Michel Blanquer,FRA,Minister of National Education, Youth and Community Life
 Ana P. Botín,ESP,Group Executive Chairman, Banco Santander
 Anne Bouverot,FRA,Board Member; Former CEO, Morpho
 Svein Richard Brandtzæg,NOR,President and CEO, Norsk Hydro ASA
 Børge Brende,INT,President, World Economic Forum
 Eamonn Brennan,IRL,Director General, Eurocontrol
 Ana Brnabic,SRB,Prime Minister,
 William J. Burns,USA,President, Carnegie Endowment for International Peace
 Sylvia M. Burwell,USA,President, American University
 Lucio Caracciolo,ITA,Editor-in-Chief, Limes
 Mark J. Carney,GBR,Governor, Bank of England
 Henri de Castries,FRA,Chairman, Institut Montaigne; Chairman
 Elena Cattaneo,ITA,Director, Laboratory of Stem Cell Biology
 Bernard Cazeneuve,FRA,Partner, August Debouzy; Former Prime Minister
 Juan Luis Cebrián,ESP,Executive Chairman, El País
 François-Philippe Champagne,CAN,Minister of International Trade,
 Jared Cohen,USA,Founder and CEO, Jigsaw at Alphabet Inc.
 Vittorio Colao,ITA,CEO, Vodafone Group
 Charles Cook,USA,Political Analyst, The Cook Political Report
 Canan Dagdeviren,TUR,Assistant Professor, MIT Media Lab
 Paschal Donohoe,IRL,Minister for Finance, Public Expenditure and Reform
 Mathias Döpfner,DEU,Chairman and CEO, Axel Springer SE
 Andrea Ecker,AUT,Secretary General, Office Federal President of Austria
 John Elkann,ITA,Chairman, Fiat Chrysler Automobiles
 Bernard Émié,FRA,Director General, Ministry of the Armed Forces
 Thomas Enders,DEU,CEO, Airbus SE
 James Fallows,USA,Writer and Journalist,
 Jr. Ferguson,USA,President and CEO, TIAA
 Niall Ferguson,USA,Milbank Family Senior Fellow, Hoover Institution
