schools,degrees,name,full_name,DOB,spouses,offspring,parents
"Yale University,Harvard University","BA,MBA",George W. Bush,George Walker Bush,1946-07-06 00:00:00,Laura Bush,"Barbara Bush (born 1981),Jenna Bush Hager","George H. W. Bush,Barbara Bush"
University of Fribourg,,Klaus Schwab,,1938-03-30 00:00:00,Hilde Schwab,2,
Harvard University,"MA,BA,PhD",Henry Kissinger,Heinz Alfred Kissinger,1923-05-27 00:00:00,Nancy Kissinger,2,
London School of Economics,"BSc,MSc",George Soros,György Schwartz,1930-08-12 00:00:00,Susan Weber (historian),"Jonathan Soros,Alexander Soros",
,,Vladimir Putin,Vladimir Vladimirovich Putin,1952-10-07 00:00:00,Lyudmila Putina,"Maria Vorontsova,Katerina Tikhonova",
"Georgetown University,University College, Oxford,Yale University","BS,JD",Bill Clinton,William Jefferson Blythe III,1946-08-19 00:00:00,Hillary Rodham,Chelsea Clinton,"William Jefferson Blythe Jr.,Virginia Clinton Kelley"
"Yale University,University of Wyoming,University of Wisconsin-Madison","MA,BA",Dick Cheney,Richard Bruce Cheney,1941-01-30 00:00:00,Lynne Cheney,"Liz Cheney,Mary Cheney",
"Wellesley College,Yale University","BA,JD",Hillary Clinton,Hillary Diane Rodham,1947-10-26 00:00:00,Bill Clinton,Chelsea Clinton,"Hugh Rodham (born 1911),Dorothy Howell Rodham"
"Dartmouth College,University College, Oxford,Yale University","MA,BA,JD",Robert Reich,Robert Bernard Reich,1946-06-24 00:00:00,Clare Dalton,Sam Reich,
"DePauw University,Indiana University, Indianapolis","BA,JD",Dan Quayle,James Danforth Quayle,1947-02-04 00:00:00,Marilyn Quayle,Ben Quayle,James C. Quayle
Eureka College,BA,Ronald Reagan,Ronald Wilson Reagan,1911-02-06 00:00:00,"Jane Wyman,Nancy Reagan","Maureen Reagan,Michael Reagan,Patti Davis,Ron Reagan","Jack Reagan,Nelle Wilson Reagan"
"University of Denver,University of Notre Dame","MA,PhD,BA",Condoleezza Rice,,1954-11-14 00:00:00,,,
"McGill University,University of British Columbia,École Polytechnique de Montréal","BA,BEd",Justin Trudeau,Justin Pierre James Trudeau,1971-12-25 00:00:00,Sophie Gr%C3%A9goire Trudeau,3,"Pierre Trudeau,Margaret Trudeau"
"Columbia University,Harvard University,Columbia University,Harvard University","BA,JD,BA,JD",Barack Obama,Barack Hussein Obama II,1961-08-04 00:00:00,Michelle Obama,"Malia Obama,Sasha Obama","Barack Obama Sr.,Ann Dunham"
"Middlebury College,Yale University","BA,JD",Brian Deese,Brian Christopher Deese,1978-02-17 00:00:00,Kara Arsenault,,
"University of Delaware,Syracuse University","BA,JD",Joe Biden,Joseph Robinette Biden Jr.,1942-11-20 00:00:00,"Neilia Hunter Biden,Jill Biden","Beau Biden,Hunter Biden,Naomi Biden,Ashley Biden",
"Howard University,University of California, Hastings","BA,JD",Kamala Harris,Kamala Devi Harris,1964-10-20 00:00:00,Doug Emhoff,,"Donald J. Harris,Shyamala Gopalan"
Harvard University,,Mark Zuckerberg,Mark Elliot Zuckerberg,1984-05-14 00:00:00,Priscilla Chan,2,
